Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/03/2022,T & T Supermarket,T & T Supermarket,13.32,debit,Groceries,Cash,,
8/02/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
8/02/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
8/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
7/29/2022,Restaurant,Restaurant,21.46,debit,Restaurants,Cash,,
7/29/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
7/29/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
7/29/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
7/28/2022,Douglas,Douglas,8069.41,debit,Education,Cash,,
7/28/2022,T & T Supermarket,T & T Supermarket,18.66,debit,Groceries,Cash,,
7/28/2022,Real Canadian Superstore,Real Canadian Superstore,16.52,debit,Groceries,Cash,,
7/28/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
7/27/2022,Real Canadian Superstore,Real Canadian Superstore,22.13,debit,Groceries,Cash,,
7/27/2022,T & T Supermarket,T & T Supermarket,12.92,debit,Groceries,Cash,,
7/26/2022,Hkgov,Hkgov,64.95,debit,Business Services,Cash,,
7/26/2022,Hkgov,Hkgov,35.05,debit,Business Services,Cash,,
7/22/2022,Restaurant,Restaurant,24.29,debit,Restaurants,Cash,,
7/21/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,144.73,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
7/21/2022,HB440 TFR-TO C/C,HB440 TFR-TO C/C,144.73,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
7/21/2022,T & T Supermarket,T & T Supermarket,15.55,debit,Groceries,Cash,,
7/21/2022,Real Canadian Superstore,Real Canadian Superstore,15.04,debit,Groceries,Cash,,
7/21/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
7/20/2022,T & T Supermarket,T & T Supermarket,15.11,debit,Groceries,Cash,,
7/20/2022,Real Canadian Superstore,Real Canadian Superstore,14,debit,Groceries,Cash,,
7/18/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
7/15/2022,Restaurant,Restaurant,10.13,debit,Restaurants,Cash,,
7/14/2022,Real Canadian Superstore,Real Canadian Superstore,22.13,debit,Groceries,Cash,,
7/14/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
7/14/2022,T & T Supermarket,T & T Supermarket,7.03,debit,Groceries,Cash,,
7/12/2022,Bestbuy,Bestbuy,113.06,debit,Electronics & Software,Cash,,
7/07/2022,Real Canadian Superstore,Real Canadian Superstore,30.16,debit,Groceries,Cash,,
7/07/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
7/06/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,99.93,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
7/05/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,44.8,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
7/04/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
7/04/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
7/03/2022,Chieftony,Chieftony,13.64,debit,Restaurants,Cash,,
7/02/2022,Restaurant,Restaurant,6.46,debit,Restaurants,Cash,,
7/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
6/30/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
6/30/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
6/30/2022,T & T Supermarket,T & T Supermarket,15.63,debit,Groceries,Cash,,
6/30/2022,Real Canadian Superstore,Real Canadian Superstore,8.09,debit,Groceries,Cash,,
6/30/2022,Restaurant,Restaurant,6.29,debit,Restaurants,Cash,,
6/30/2022,Real Canadian Superstore,Real Canadian Superstore,3.49,debit,Groceries,Cash,,
6/30/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
6/29/2022,T & T Supermarket,T & T Supermarket,16.88,debit,Groceries,Cash,,
6/29/2022,Real Canadian Superstore,Real Canadian Superstore,5.48,debit,Groceries,Cash,,
6/24/2022,Restaurant,Restaurant,9.96,debit,Restaurants,Cash,,
6/24/2022,Restaurant,Restaurant,2.72,debit,Restaurants,Cash,,
6/24/2022,Real Canadian Superstore,Real Canadian Superstore,1.59,debit,Groceries,Cash,,
6/23/2022,T & T Supermarket,T & T Supermarket,24.18,debit,Groceries,Cash,,
6/23/2022,Real Canadian Superstore,Real Canadian Superstore,11.44,debit,Groceries,Cash,,
6/23/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
6/22/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,337.5,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
6/22/2022,HJ100 TFR-TO C/C,HJ100 TFR-TO C/C,337.5,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
6/22/2022,Real Canadian Superstore,Real Canadian Superstore,24.33,debit,Groceries,Cash,,
6/22/2022,DANNY HAIR SALON,DANNY HAIR SALON,18,debit,Hair,Cash,,
6/21/2022,Real Canadian Superstore,Real Canadian Superstore,9.12,debit,Groceries,Cash,,
6/17/2022,Restaurant,Restaurant,9.96,debit,Restaurants,Cash,,
6/16/2022,Real Canadian Superstore,Real Canadian Superstore,23.41,debit,Groceries,Cash,,
6/16/2022,KFC,KFC,10.38,debit,Restaurants,Cash,,
6/16/2022,T & T Supermarket,T & T Supermarket,5.45,debit,Groceries,Cash,,
6/16/2022,Tim Horton's,Tim Horton's,1.88,debit,Restaurants,Cash,,
6/15/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
6/15/2022,T & T Supermarket,T & T Supermarket,16.41,debit,Groceries,Cash,,
6/15/2022,Real Canadian Superstore,Real Canadian Superstore,8.58,debit,Groceries,Cash,,
6/15/2022,Dollarama,Dollarama,1.4,debit,Shopping,Cash,,
6/13/2022,DAWANGONG RESTA _F,DAWANGONG RESTA _F,14.91,debit,Coffee Shops,TD UNLIMITED CHEQUING ACCOUNT,,
6/10/2022,Real Canadian Superstore,Real Canadian Superstore,26.85,debit,Groceries,Cash,,
6/09/2022,T & T Supermarket,T & T Supermarket,30.32,debit,Groceries,Cash,,
6/09/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
6/08/2022,Real Canadian Superstore,Real Canadian Superstore,32.54,debit,Groceries,Cash,,
6/08/2022,T & T Supermarket,T & T Supermarket,19.44,debit,Groceries,Cash,,
6/07/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,96.94,debit,Internet,TD CASH BACK VISA* CARD,,
6/04/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,44.8,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
6/03/2022,Restaurant,Restaurant,12.58,debit,Restaurants,Cash,,
6/03/2022,Restaurant,Restaurant,2.09,debit,Restaurants,Cash,,
6/02/2022,T & T Supermarket,T & T Supermarket,24.77,debit,Groceries,Cash,,
6/02/2022,Real Canadian Superstore,Real Canadian Superstore,11.26,debit,Groceries,Cash,,
6/02/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
6/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
6/01/2022,Real Canadian Superstore,Real Canadian Superstore,36.13,debit,Groceries,Cash,,
6/01/2022,PORTER EXPRESS _F,PORTER EXPRESS _F,20,debit,Shipping,TD UNLIMITED CHEQUING ACCOUNT,,
6/01/2022,T & T Supermarket,T & T Supermarket,18.4,debit,Groceries,Cash,,
5/31/2022,B.C. HYDRO-PAP BPY,B.C. HYDRO-PAP BPY,61.59,debit,Utilities,TD UNLIMITED CHEQUING ACCOUNT,,
5/31/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
5/31/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
5/31/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
5/31/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
5/31/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
5/30/2022,Real Canadian Superstore,Real Canadian Superstore,19.3,debit,Groceries,Cash,,
5/27/2022,Restaurant,Restaurant,9.96,debit,Restaurants,Cash,,
5/26/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,12.66,debit,Groceries,TD CASH BACK VISA* CARD,,
5/26/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,10.48,debit,Groceries,TD CASH BACK VISA* CARD,,
5/26/2022,CHARTWELLS-67851,CHARTWELLS-67851,9.44,debit,Fast Food,TD CASH BACK VISA* CARD,,
5/25/2022,SQ *KINGSWAY GL,SQ *KINGSWAY GL,280.5,debit,Legal,TD UNLIMITED CHEQUING ACCOUNT,,
5/25/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,17.93,debit,Groceries,TD CASH BACK VISA* CARD,,
5/25/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,10.57,debit,Groceries,TD CASH BACK VISA* CARD,,
5/24/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,752.97,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
5/24/2022,RT564 TFR-TO C/C,RT564 TFR-TO C/C,752.97,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
5/23/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,2,debit,Groceries,TD CASH BACK VISA* CARD,,
5/20/2022,MAD CHICKEN - V _F,MAD CHICKEN - V _F,12.95,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
5/20/2022,OOMOMO METROTOWN STORE,OOMOMO METROTOWN STORE,7.84,debit,Shopping,TD CASH BACK VISA* CARD,,
5/19/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,31.63,debit,Groceries,TD CASH BACK VISA* CARD,,
5/19/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,9.82,debit,Groceries,TD CASH BACK VISA* CARD,,
5/19/2022,CHARTWELLS-67851,CHARTWELLS-67851,8.39,debit,Fast Food,TD CASH BACK VISA* CARD,,
5/19/2022,INTEREST CHARGE - CASH,INTEREST CHARGE - CASH,0.01,debit,Finance Charge,TD CASH BACK VISA* CARD,,
5/17/2022,Dental,Dental,30,debit,Health & Fitness,Cash,,
5/17/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,15.16,debit,Groceries,TD CASH BACK VISA* CARD,,
5/17/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,9.66,debit,Groceries,TD CASH BACK VISA* CARD,,
5/16/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
5/13/2022,Restaurant,Restaurant,10.45,debit,Restaurants,Cash,,
5/12/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,25.96,debit,Groceries,TD CASH BACK VISA* CARD,,
5/12/2022,CHARTWELLS-67851,CHARTWELLS-67851,10.49,debit,Fast Food,TD CASH BACK VISA* CARD,,
5/11/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,25.07,debit,Groceries,TD CASH BACK VISA* CARD,,
5/11/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,20.45,debit,Groceries,TD CASH BACK VISA* CARD,,
5/06/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,102.92,debit,Internet,TD CASH BACK VISA* CARD,,
5/05/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,44.8,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
5/05/2022,DANNY HAIR SALON,DANNY HAIR SALON,36.23,debit,Hair,TD CASH BACK VISA* CARD,,
5/05/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,25.12,debit,Groceries,TD CASH BACK VISA* CARD,,
5/05/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,19.25,debit,Groceries,TD CASH BACK VISA* CARD,,
5/04/2022,Restaurant,Restaurant,49.81,debit,Restaurants,Cash,,
5/04/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,17.02,debit,Groceries,TD CASH BACK VISA* CARD,,
5/04/2022,Restaurant,Restaurant,7.3,debit,Restaurants,Cash,,
5/04/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,6.3,debit,Groceries,TD CASH BACK VISA* CARD,,
5/03/2022,Restaurant,Restaurant,45.29,debit,Restaurants,Cash,,
5/03/2022,Restaurant,Restaurant,8.6,debit,Restaurants,Cash,,
5/02/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
5/02/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
5/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
4/30/2022,Catcus,Catcus,53.28,debit,Restaurants,Cash,,
4/29/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
4/29/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
4/29/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
4/28/2022,WAL-MART SUPERCENTER#1213,WAL-MART SUPERCENTER#1213,33.12,debit,Shopping,TD CASH BACK VISA* CARD,,
4/27/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,32.84,debit,Groceries,TD CASH BACK VISA* CARD,,
4/27/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,31.39,debit,Groceries,TD CASH BACK VISA* CARD,,
4/27/2022,BAKEHOUSE METROTOWN,BAKEHOUSE METROTOWN,14.68,debit,Restaurants,TD CASH BACK VISA* CARD,,
4/26/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,25.68,debit,Groceries,TD CASH BACK VISA* CARD,,
4/26/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,19.06,debit,Groceries,TD CASH BACK VISA* CARD,,
4/22/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,564.41,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
4/22/2022,JW264 TFR-TO C/C,JW264 TFR-TO C/C,564.41,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
4/21/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,25.68,debit,Groceries,TD CASH BACK VISA* CARD,,
4/21/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,20.98,debit,Groceries,TD CASH BACK VISA* CARD,,
4/21/2022,BK #14160,BK #14160,13.05,debit,Fast Food,TD CASH BACK VISA* CARD,,
4/20/2022,INTEREST CHARGE - CASH,INTEREST CHARGE - CASH,0.03,debit,Finance Charge,TD CASH BACK VISA* CARD,,
4/19/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
4/19/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,28.05,debit,Groceries,TD CASH BACK VISA* CARD,,
4/19/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,8.1,debit,Groceries,TD CASH BACK VISA* CARD,,
4/19/2022,CASH ADVANCE FEE,CASH ADVANCE FEE,3.5,debit,Service Fee,TD CASH BACK VISA* CARD,,
4/17/2022,PLAYNOW.COM 8777066789,PLAYNOW.COM 8777066789,10,debit,Entertainment,TD CASH BACK VISA* CARD,,
4/16/2021,Douglas,Douglas,8210.7,debit,Education,Cash,,
4/14/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,31.7,debit,Groceries,TD CASH BACK VISA* CARD,,
4/14/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,13.28,debit,Groceries,TD CASH BACK VISA* CARD,,
4/12/2022,Restaurant,Restaurant,12.95,debit,Restaurants,Cash,,
4/11/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,29.48,debit,Groceries,TD CASH BACK VISA* CARD,,
4/11/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,23,debit,Groceries,TD CASH BACK VISA* CARD,,
4/07/2022,Real Canadian Superstore,REAL CDN SUPERSTORE #1,25.76,debit,Groceries,TD CASH BACK VISA* CARD,,
4/07/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,19.94,debit,Groceries,TD CASH BACK VISA* CARD,,
4/05/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,34.07,debit,Groceries,TD CASH BACK VISA* CARD,,
4/05/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,13.34,debit,Groceries,TD CASH BACK VISA* CARD,,
4/04/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,99.93,debit,Internet,TD CASH BACK VISA* CARD,,
4/04/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,44.8,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
4/04/2022,B.C. HYDRO-PAP BPY,B.C. HYDRO-PAP BPY,27.77,debit,Utilities,TD UNLIMITED CHEQUING ACCOUNT,,
4/02/2022,Douglas,Douglas,9504.52,debit,Education,Cash,,
4/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
3/31/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.69,debit,Groceries,TD CASH BACK VISA* CARD,,
3/31/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
3/31/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
3/31/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,10.51,debit,Groceries,TD CASH BACK VISA* CARD,,
3/31/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
3/31/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
3/31/2022,WAL-MART SUPERCENTER#1213,WAL-MART SUPERCENTER#1213,7.32,debit,Shopping,TD CASH BACK VISA* CARD,,
3/31/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
3/29/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,28.47,debit,Groceries,TD CASH BACK VISA* CARD,,
3/29/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,8.74,debit,Groceries,TD CASH BACK VISA* CARD,,
3/26/2022,MOON SUSHI JAPANESE,MOON SUSHI JAPANESE,11.41,debit,Restaurants,TD CASH BACK VISA* CARD,,
3/24/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,667.49,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
3/24/2022,IY175 TFR-TO C/C,IY175 TFR-TO C/C,667.49,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
3/24/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,22.63,debit,Groceries,TD CASH BACK VISA* CARD,,
3/24/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,16.95,debit,Groceries,TD CASH BACK VISA* CARD,,
3/23/2022,REWARDS REDEMPTION,REWARDS REDEMPTION,30,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
3/22/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.96,debit,Groceries,TD CASH BACK VISA* CARD,,
3/21/2022,BOURBON ST GRILL,BOURBON ST GRILL,14.49,debit,Restaurants,TD CASH BACK VISA* CARD,,
3/21/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,7.9,debit,Groceries,TD CASH BACK VISA* CARD,,
3/21/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,7.34,debit,Groceries,TD CASH BACK VISA* CARD,,
3/21/2022,WAL-MART SUPERCENTER#1213,WAL-MART SUPERCENTER#1213,7.32,debit,Shopping,TD CASH BACK VISA* CARD,,
3/19/2022,DANNY HAIR SALON,DANNY HAIR SALON,18.75,debit,Hair,TD CASH BACK VISA* CARD,,
3/18/2022,PAYPAL *FIRSTRUNTHE,PAYPAL *FIRSTRUNTHE,30.4,debit,Shopping,TD CASH BACK VISA* CARD,,
3/17/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.17,debit,Groceries,TD CASH BACK VISA* CARD,,
3/17/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,16.37,debit,Groceries,TD CASH BACK VISA* CARD,,
3/15/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
3/15/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,30.01,debit,Groceries,TD CASH BACK VISA* CARD,,
3/14/2022,CHARTWELLS-67851,CHARTWELLS-67851,9.44,debit,Fast Food,TD CASH BACK VISA* CARD,,
3/14/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,6.66,debit,Groceries,TD CASH BACK VISA* CARD,,
3/14/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,4.94,debit,Groceries,TD CASH BACK VISA* CARD,,
3/12/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,6.02,debit,Groceries,TD CASH BACK VISA* CARD,,
3/12/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,3.79,debit,Groceries,TD CASH BACK VISA* CARD,,
3/10/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,17.74,debit,Groceries,TD CASH BACK VISA* CARD,,
3/10/2022,T & T Supermarket,T&T SUPERMARKET #001,13.61,debit,Groceries,TD CASH BACK VISA* CARD,,
3/08/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,29.94,debit,Groceries,TD CASH BACK VISA* CARD,,
3/07/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,99.93,debit,Internet,TD CASH BACK VISA* CARD,,
3/07/2022,FIDO Mobile *910653898,FIDO Mobile *910653898,44.8,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
3/07/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.86,debit,Groceries,TD CASH BACK VISA* CARD,,
3/07/2022,KFC METROPOLIS,KFC METROPOLIS,9.94,debit,Fast Food,TD CASH BACK VISA* CARD,,
3/03/2022,Real Canadian Superstore,REAL CDN SUPERSTORE #1,21.2,debit,Groceries,TD CASH BACK VISA* CARD,,
3/03/2022,T & T Supermarket,T&T SUPERMARKET #001,10.49,debit,Groceries,TD CASH BACK VISA* CARD,,
3/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
3/01/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,31.59,debit,Groceries,TD CASH BACK VISA* CARD,,
3/01/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,14.68,debit,Groceries,TD CASH BACK VISA* CARD,,
3/01/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
3/01/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
2/28/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
2/28/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
2/28/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,12.37,debit,Groceries,TD CASH BACK VISA* CARD,,
2/28/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,11.48,debit,Groceries,TD CASH BACK VISA* CARD,,
2/28/2022,CHARTWELLS-67851,CHARTWELLS-67851,9.44,debit,Fast Food,TD CASH BACK VISA* CARD,,
2/28/2022,BONUS INTEREST,BONUS INTEREST,0.38,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
2/28/2022,INTEREST CREDIT,INTEREST CREDIT,0.02,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
2/24/2022,Olive Tree Royal Kitchen,Olive Tree Royal Kitchen,12.95,debit,Restaurants,TD CASH BACK VISA* CARD,,
2/23/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,41.62,debit,Groceries,TD CASH BACK VISA* CARD,,
2/23/2022,BK #14160,BK #14160,9.19,debit,Fast Food,TD CASH BACK VISA* CARD,,
2/22/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,726.29,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
2/22/2022,LJ333 TFR-TO C/C,LJ333 TFR-TO C/C,726.29,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
2/20/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,19.09,debit,Groceries,TD CASH BACK VISA* CARD,,
2/18/2022,BEST BUY #973,BEST BUY #973,27.99,debit,Electronics & Software,TD CASH BACK VISA* CARD,,
2/18/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,9.76,debit,Groceries,TD CASH BACK VISA* CARD,,
2/17/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,22.02,debit,Groceries,TD CASH BACK VISA* CARD,,
2/17/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,12.13,debit,Groceries,TD CASH BACK VISA* CARD,,
2/16/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
2/15/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,35.09,debit,Groceries,TD CASH BACK VISA* CARD,,
2/14/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,16.11,debit,Groceries,TD CASH BACK VISA* CARD,,
2/14/2022,KFC METROPOLIS,KFC METROPOLIS,9.94,debit,Fast Food,TD CASH BACK VISA* CARD,,
2/11/2022,Real Canadian Superstore,REAL CDN SUPERSTORE #1,8.12,debit,Groceries,TD CASH BACK VISA* CARD,,
2/10/2022,T & T Supermarket,T&T SUPERMARKET #001,15.95,debit,Groceries,TD CASH BACK VISA* CARD,,
